,Reaction ID
1284,39898587
1285,39898589
1286,39898595
1287,40372577
1288,40489686
1289,40567453
1290,40567494
1291,41051804
1292,41183736
1293,41183757
1294,41227297
1295,41227300
1296,41286071
1297,41783797
1298,41783800
1299,41817981
1300,41817982
1301,41817983
1302,41817984
1303,42278460
1304,42278467
1305,42278468
1306,42503946
1307,42503947
1308,42503981
1309,42503990
1310,42503997
1311,42504005
1312,42504010
1313,42713012
1314,43711812
1315,43711830
1316,43711832
1317,44648728
1318,44870179
1319,44944945
1320,44951585
1321,45087083
1322,45087085
1323,45087086
1324,45087087
1325,45103960
1326,45103961
1327,45104078
1328,45104082
1329,46290550
1330,46422173
1331,46422271
1332,46518115
1333,47304569
1334,47304571
1335,47304572
1336,47304576
1337,47304688
1338,47304692
1339,47304693
1340,47613430
1341,47613617
1342,47613618
1343,47613622
1344,47613625
1345,47613626
1346,47695995
1347,48509312
1348,48787833
1349,48787838
1350,49398168
1351,50381839
1352,50381841
1353,50499169
1354,50499174
1355,50530106
1356,50530107
1357,50530221
1358,50530222
1359,50729573
1360,50729574
1361,50729577
1362,52402547
1363,52402553
1364,53157292
1365,53157294
1366,53157296
1367,53157300
1368,53157309
1369,53157319
1370,53560117
1371,53580125
1372,53874851
1373,53874853
1374,54111224
1375,54111269
1376,54224136
1377,55695278
1378,57796819
1379,57999896
1380,58811901
1381,58934786
1382,58934788
1383,58934797
1384,58934848
1385,59550811
1386,59550820
1387,59551205
1388,59581757
1389,8801852
1390,8804162
1391,8816619
1392,8820439
1393,8840275
1394,8941788
1395,9176860
1396,9249142
1397,9266869
1398,9309851
1399,9334376
1400,9390838
1401,9536160
1402,9763187
1403,9763219
1404,9763220
1405,9763222
1406,9772980
1407,9824787
1408,9942539
1409,10214752
1410,10299333
1411,10315058
1412,11099844
1413,11137451
1414,11237492
1415,11237493
1416,11237494
1417,11237495
1418,11237496
1419,11237497
1420,11237498
1421,11237499
1422,11237500
1423,11237501
1424,11237502
1425,11237503
1426,11237504
1427,11237505
1428,11237506
1429,11237507
1430,11237508
1431,11237509
1432,11237510
1433,11237511
1434,11237512
1435,23655573
1436,25920877
1437,25936014
1438,25971295
1439,25995645
1440,27926025
1441,28156652
1442,28196877
1443,28196902
1444,28197452
1445,28197453
1446,28229059
1447,28231230
1448,28231234
1449,28232259
1450,28232495
1451,28232497
1452,28232501
1453,28232503
1454,28232505
1455,28338137
1456,28338138
1457,28338158
1458,28397885
1459,28550861
1460,28551088
1461,28551110
1462,28706069
1463,28775418
1464,28886826
1465,28886834
1466,28893888
1467,28894392
1468,28894393
1469,28958781
1470,28958785
1471,29048404
1472,29123235
1473,29123237
1474,29123239
1475,29123241
1476,29125105
1477,29174328
1478,29280331
1479,29337135
1480,29497020
1481,29981037
1482,30065046
1483,30144279
1484,30346632
1485,30549448
1486,30763543
1487,30763746
1488,30769313
1489,30958462
1490,31029572
1491,31029574
1492,31029577
1493,31029581
1494,31029586
1495,31029595
1496,31029597
1497,31496018
1498,31496083
1499,31662796
1500,31662797
1501,31662799
1502,31667754
1503,31667756
1504,31667757
1505,32224656
1506,32906808
1507,32906875
1508,32906881
1509,32906883
1510,32906891
1511,32906893
1512,32906897
1513,32906899
1514,32906903
1515,32906921
1516,32906925
1517,32906937
1518,32906939
1519,32906941
1520,32906944
1521,32906945
1522,32906947
1523,32906950
1524,32906952
1525,32906954
1526,32906957
1527,32906958
1528,32906963
1529,32906964
1530,32906967
1531,32906970
1532,32906983
1533,32906985
1534,32906987
1535,32906989
1536,32906991
1537,32906993
1538,32906997
1539,32907002
1540,32907004
1541,32907006
1542,32907008
1543,32907010
1544,32907012
1545,32907022
1546,32907028
1547,32907030
1548,32907032
1549,32907034
1550,32907036
1551,32907039
1552,32907045
1553,33170559
1554,33170561
1555,33208853
1556,33212766
1557,33308821
1558,33625451
1559,33625455
1560,33625460
1561,34134305
1562,34134309
1563,34134311
1564,34134344
1565,34134351
1566,34134368
1567,34318477
1568,34441931
1569,34444591
1570,34513258
1571,34546378
1572,34658871
1573,34675218
1574,34675240
1575,34786743
1576,35094567
1577,35661302
1578,35661308
1579,35661312
1580,35661315
1581,35661319
1582,35661351
1583,35661368
1584,35661419
1585,35661421
1586,35940821
1587,36189461
1588,36296622
1589,36296629
1590,36370388
1591,36370389
1592,36423838
1593,36523564
1594,36523566
1595,36580588
1596,36580631
1597,36580632
1598,36580633
1599,36778964
1600,36778965
1601,36792254
1602,36792260
1603,36792274
1604,36825930
1605,37050758
1606,37073521
1607,37172851
1608,37172853
1609,37172854
1610,37172856
1611,37350027
1612,37473341
1613,37668922
1614,37668925
1615,37668926
1616,37744472
1617,37879816
1618,37893618
1619,37893619
1620,37893620
1621,37893623
1622,37927243
1623,37927247
1624,38137589
1625,38268047
1626,38438283
1627,38782995
1628,38783020
1629,38783074
1630,39558790
1631,39590145
1632,39590161
1633,39590165
1634,39590169
1635,39590171
1636,39898585
1637,39898591
1638,39898592
1639,39898593
1640,39898594
1641,39898596
1642,39898597
1643,39898609
1644,39938576
1645,40223477
1646,40347693
1647,40347698
1648,40375390
1649,40641336
1650,40648125
1651,40742207
1652,40742210
1653,40806949
1654,40849861
1655,41051806
1656,41172698
1657,41227303
1658,41227306
1659,41227313
1660,41440475
1661,41479436
1662,41783798
1663,41927921
1664,41927931
1665,41984061
1666,41990613
1667,42088248
1668,42278463
1669,42503933
1670,42503945
1671,42503954
1672,42503961
1673,42504008
1674,42552957
1675,42706299
1676,42712761
1677,42713013
1678,42777465
1679,42910589
1680,43502650
1681,43711865
1682,43935298
1683,43935360
1684,43935367
1685,44370204
1686,44691937
1687,44953367
1688,45043922
1689,45044261
1690,45044277
1691,45087088
1692,45103957
1693,45103962
1694,45439364
1695,45515142
1696,45663215
1697,45663216
1698,45663221
1699,45663224
1700,45663263
1701,45663264
1702,45663463
1703,45929814
1704,45929815
1705,45929831
1706,46277514
1707,46422174
1708,46422270
1709,46492433
1710,46492491
1711,46624081
1712,46999580
1713,46999609
1714,47266971
1715,47266994
1716,47304567
1717,47304574
1718,47304577
1719,47304582
1720,47304583
1721,47304670
1722,47304682
1723,47304683
1724,47486761
1725,47490035
1726,47490036
1727,47490038
1728,47490039
1729,47490040
1730,47490041
1731,47490043
1732,47490044
1733,47490045
1734,47490048
1735,47490051
1736,47613417
1737,47613419
1738,47613423
1739,47613425
1740,47613427
1741,47613429
1742,47613432
1743,47613619
1744,47613620
1745,47695979
1746,47744562
1747,47744588
1748,47908561
1749,47949117
1750,48160054
1751,48280670
1752,48280673
1753,48280676
1754,48291862
1755,48473726
1756,48473727
1757,48473729
1758,48642337
1759,48787834
1760,48787851
1761,48965266
1762,49053079
1763,49086204
1764,49088190
1765,49088192
1766,49840706
1767,49840710
1768,49840711
1769,49965337
1770,49974180
1771,50034060
1772,50034064
1773,50034065
1774,50034066
1775,50164143
1776,50164147
1777,50164148
1778,50164159
1779,50251308
1780,50279045
1781,50385368
1782,50499171
1783,50530105
1784,50530108
1785,50530218
1786,50530219
1787,50729572
1788,50729575
1789,51150498
1790,51150506
1791,51150509
1792,51687621
1793,51687623
1794,51687626
1795,51702970
1796,52214630
1797,52214636
1798,52214688
1799,52214694
1800,52214701
1801,52402537
1802,52402552
1803,53157302
1804,53157304
1805,53157313
1806,53157315
1807,53157483
1808,53866600
1809,53866601
1810,54111226
1811,54111228
1812,54111257
1813,55614061
1814,55614072
1815,55614129
1816,56197291
1817,56197491
1818,56388628
1819,56388631
1820,56388634
1821,56388635
1822,56919187
1823,57162638
1824,57279915
1825,57526140
1826,57761587
1827,57761632
1828,57761716
1829,57761722
1830,57761770
1831,57761774
1832,57785901
1833,57785902
1834,57785903
1835,57785904
1836,57785909
1837,57837074
1838,58092265
1839,58156221
1840,58207408
1841,58207510
1842,58325286
1843,58505377
1844,58934789
1845,59451171
1846,59451177
1847,59451178
1848,59451186
1849,59451188
1850,59451194
1851,59451196
1852,59451197
1853,59451199
1854,59451201
1855,59451202
1856,59451204
1857,59451223
1858,59451225
1859,59451226
1860,59451227
1861,59451229
1862,59451230
1863,59451231
1864,59550809
1865,59550816
1866,60147005
1867,8817035
1868,8820430
1869,9266870
1870,9270674
1871,9342854
1872,9390112
1873,9521024
1874,9948183
1875,10523548
1876,11085833
1877,11087017
1878,11187163
1879,11187164
1880,25936016
1881,26040172
1882,27926024
1883,27945655
1884,28133426
1885,28160582
1886,28169387
1887,28196411
1888,28196912
1889,28196916
1890,28197459
1891,28209361
1892,28232499
1893,28338140
1894,28338156
1895,28410380
1896,28410384
1897,28527373
1898,28551089
1899,28650783
1900,28775417
1901,28894407
1902,28941747
1903,28941748
1904,29048416
1905,29048422
1906,29078700
1907,29123234
1908,29123236
1909,29123238
1910,29123240
1911,29204372
1912,29204375
1913,29337128
1914,29337129
1915,29487638
1916,29487640
1917,29487650
1918,29487651
1919,29487654
1920,29498251
1921,29608438
1922,29640860
1923,29656310
1924,29820354
1925,29820366
1926,29981036
1927,29981038
1928,30065036
1929,30065052
1930,30144072
1931,30171239
1932,30171249
1933,30227695
1934,30454265
1935,30549441
1936,30549446
1937,30549447
1938,30769349
1939,30769350
1940,30769364
1941,30769365
1942,30769377
1943,30769577
1944,31267310
1945,31496019
1946,31496072
1947,31662791
1948,31662794
1949,31662798
1950,31673841
1951,32053943
1952,32788908
1953,32906807
1954,32906885
1955,32906895
1956,32906901
1957,32906906
1958,32906908
1959,32906915
1960,32906919
1961,32906930
1962,32906968
1963,32907000
1964,32907019
1965,32907043
1966,32907048
1967,33170560
1968,33170564
1969,33170565
1970,33170604
1971,33170606
1972,33208844
1973,33208846
1974,33208850
1975,33208851
1976,33208857
1977,33348847
1978,33522279
1979,33522280
1980,33540435
1981,33625198
1982,33625457
1983,33625462
1984,33625463
1985,33625467
1986,33649571
1987,33649574
1988,33649575
1989,33649577
1990,33809847
1991,33809849
1992,33984140
1993,34134323
1994,34134346
1995,34134349
1996,34373319
1997,34441934
1998,34447755
1999,34586925
2000,35094576
2001,35661294
2002,35661349
2003,35661370
2004,35661416
2005,35661417
2006,35661418
2007,35950462
2008,35950463
2009,36296621
2010,36296642
2011,36296646
2012,36296648
2013,36296650
2014,36370143
2015,36370144
2016,36370394
2017,36423845
2018,36792262
2019,36792297
2020,36808038
2021,37441445
2022,37473340
2023,37668909
2024,37668915
2025,37668923
2026,37744471
2027,37879817
2028,37879818
2029,37886668
2030,37886696
2031,37927250
2032,38108929
2033,38231336
2034,38233497
2035,38267971
2036,38268051
2037,38438289
2038,38438294
2039,38438296
2040,38438297
2041,38556953
2042,39078715
2043,39529641
2044,39590136
2045,39590137
2046,39590143
2047,39590160
2048,39590164
2049,39590173
2050,39590174
2051,39699534
2052,39898584
2053,40001140
2054,40001653
2055,40001666
2056,40310420
2057,40310507
2058,40347692
2059,40347699
2060,40347700
2061,40375388
2062,40567489
2063,40742208
2064,40807002
2065,40849909
2066,40849911
2067,40939105
2068,41183726
2069,41183738
2070,41250535
2071,41250537
2072,41927928
2073,42047636
2074,42088241
2075,42278466
2076,42503955
2077,42503972
2078,43487615
2079,43711789
2080,43711806
2081,43934759
2082,43935251
2083,44152361
2084,44152363
2085,44152367
2086,44152371
2087,44152378
2088,44152379
2089,44152382
2090,44152386
2091,44152387
2092,44152388
2093,44152394
2094,44152395
2095,44152396
2096,44309572
2097,44691900
2098,44691929
2099,45103964
2100,45241057
2101,45241061
2102,45271224
2103,45515144
2104,45801296
2105,46492481
2106,46492483
2107,46492492
2108,46492494
2109,46623462
2110,46999610
2111,47266990
2112,47304573
2113,47613424
2114,47613428
2115,47613623
2116,47695985
2117,47695992
2118,47727713
2119,47727714
2120,47744542
2121,47906791
2122,47994524
2123,48092425
2124,48280671
2125,48280678
2126,48280679
2127,48291907
2128,48291918
2129,48291933
2130,48291981
2131,48291997
2132,48292110
2133,48473728
2134,48787839
2135,48804778
2136,48903789
2137,49053087
